"date_column","total_sightings","species","year","month"
2021-08-01,1,"Fin Whale",2021,"Aug"
2021-11-01,2,"Fin Whale",2021,"Nov"
2021-12-01,15,"Fin Whale",2021,"Dec"
2022-01-01,7,"Fin Whale",2022,"Jan"
2022-02-01,1,"Fin Whale",2022,"Feb"
2022-04-01,20,"Fin Whale",2022,"Apr"
2022-05-01,13,"Fin Whale",2022,"May"
2022-06-01,7,"Fin Whale",2022,"Jun"
2022-07-01,16,"Fin Whale",2022,"Jul"
2022-09-01,2,"Fin Whale",2022,"Sep"
2022-10-01,2,"Fin Whale",2022,"Oct"
2022-11-01,3,"Fin Whale",2022,"Nov"
2023-01-01,6,"Fin Whale",2023,"Jan"
2023-04-01,2,"Fin Whale",2023,"Apr"
2023-05-01,2,"Fin Whale",2023,"May"
2023-06-01,2,"Fin Whale",2023,"Jun"
2023-08-01,11,"Fin Whale",2023,"Aug"
2023-09-01,2,"Fin Whale",2023,"Sep"
2023-11-01,3,"Fin Whale",2023,"Nov"
2024-01-01,3,"Fin Whale",2024,"Jan"
2024-03-01,3,"Fin Whale",2024,"Mar"
2024-04-01,10,"Fin Whale",2024,"Apr"
2024-05-01,9,"Fin Whale",2024,"May"
2024-06-01,53,"Fin Whale",2024,"Jun"
2024-07-01,13,"Fin Whale",2024,"Jul"
2024-08-01,36,"Fin Whale",2024,"Aug"
2024-09-01,10,"Fin Whale",2024,"Sep"
2024-10-01,5,"Fin Whale",2024,"Oct"
2024-11-01,2,"Fin Whale",2024,"Nov"
2024-12-01,2,"Fin Whale",2024,"Dec"
2014-07-01,97,"Humpback Whale",2014,"Jul"
2014-08-01,46,"Humpback Whale",2014,"Aug"
2014-09-01,45,"Humpback Whale",2014,"Sep"
2014-10-01,84,"Humpback Whale",2014,"Oct"
2014-11-01,22,"Humpback Whale",2014,"Nov"
2014-12-01,9,"Humpback Whale",2014,"Dec"
2015-01-01,8,"Humpback Whale",2015,"Jan"
2015-02-01,20,"Humpback Whale",2015,"Feb"
2015-04-01,16,"Humpback Whale",2015,"Apr"
2015-05-01,9,"Humpback Whale",2015,"May"
2015-06-01,22,"Humpback Whale",2015,"Jun"
2015-07-01,53,"Humpback Whale",2015,"Jul"
2015-08-01,119,"Humpback Whale",2015,"Aug"
2015-09-01,32,"Humpback Whale",2015,"Sep"
2015-10-01,12,"Humpback Whale",2015,"Oct"
2015-11-01,1,"Humpback Whale",2015,"Nov"
2015-12-01,4,"Humpback Whale",2015,"Dec"
2016-03-01,3,"Humpback Whale",2016,"Mar"
2016-04-01,2,"Humpback Whale",2016,"Apr"
2016-05-01,16,"Humpback Whale",2016,"May"
2016-06-01,62,"Humpback Whale",2016,"Jun"
2016-07-01,46,"Humpback Whale",2016,"Jul"
2016-08-01,19,"Humpback Whale",2016,"Aug"
2016-09-01,5,"Humpback Whale",2016,"Sep"
2016-10-01,10,"Humpback Whale",2016,"Oct"
2016-11-01,22,"Humpback Whale",2016,"Nov"
2016-12-01,11,"Humpback Whale",2016,"Dec"
