sighting_id,species,latitude,longitude,year,month
5335,Humpback Whale,38.07437,-123.445,2014,Jul
5335,Humpback Whale,38.07437,-123.445,2014,Jul
5335,Humpback Whale,38.07437,-123.445,2014,Jul
5335,Humpback Whale,38.07437,-123.445,2014,Jul
5338,Humpback Whale,38.34205,-123.328,2014,Jul
5338,Humpback Whale,38.34205,-123.328,2014,Jul
5336,Blue Whale,38.07357,-123.447,2014,Jul
5336,Blue Whale,38.07357,-123.447,2014,Jul
5336,Blue Whale,38.07357,-123.447,2014,Jul
5336,Blue Whale,38.07357,-123.447,2014,Jul
5336,Blue Whale,38.07357,-123.447,2014,Jul
5336,Blue Whale,38.07357,-123.447,2014,Jul
5394,Humpback Whale,38.05222,-123.346,2014,Jul
5394,Humpback Whale,38.05222,-123.346,2014,Jul
5563,Humpback Whale,37.88792,-123.365,2014,Jul
6605,Humpback Whale,36.79757,-121.813,2014,Aug
134826,Humpback Whale,36.48149,-122.052,2021,Aug
134826,Humpback Whale,36.48149,-122.052,2021,Aug
6353,Blue Whale,42.16321,-124.388,2014,Aug
6398,Blue Whale,44.79736,-124.075,2014,Aug
6601,Humpback Whale,36.79729,-121.822,2014,Aug
6601,Humpback Whale,36.79729,-121.822,2014,Aug
6601,Humpback Whale,36.79729,-121.822,2014,Aug
6601,Humpback Whale,36.79729,-121.822,2014,Aug
6601,Humpback Whale,36.79729,-121.822,2014,Aug
6601,Humpback Whale,36.79729,-121.822,2014,Aug
6601,Humpback Whale,36.79729,-121.822,2014,Aug
6601,Humpback Whale,36.79729,-121.822,2014,Aug
6638,Humpback Whale,36.81774,-121.843,2014,Aug
6675,Humpback Whale,36.79315,-122.018,2014,Aug
6737,Humpback Whale,36.83107,-121.968,2014,Aug
6737,Humpback Whale,36.83107,-121.968,2014,Aug
6737,Humpback Whale,36.83107,-121.968,2014,Aug
6737,Humpback Whale,36.83107,-121.968,2014,Aug
6746,Humpback Whale,36.8008,-121.8,2014,Aug
6747,Humpback Whale,36.81682,-121.84,2014,Aug
6747,Humpback Whale,36.81682,-121.84,2014,Aug
6752,Humpback Whale,36.80476,-121.826,2014,Aug
6752,Humpback Whale,36.80476,-121.826,2014,Aug
6752,Humpback Whale,36.80476,-121.826,2014,Aug
6752,Humpback Whale,36.80476,-121.826,2014,Aug
6753,Humpback Whale,36.8017,-121.828,2014,Aug
6753,Humpback Whale,36.8017,-121.828,2014,Aug
6753,Humpback Whale,36.8017,-121.828,2014,Aug
6753,Humpback Whale,36.8017,-121.828,2014,Aug
6753,Humpback Whale,36.8017,-121.828,2014,Aug
6753,Humpback Whale,36.8017,-121.828,2014,Aug
6753,Humpback Whale,36.8017,-121.828,2014,Aug
6754,Humpback Whale,36.81496,-121.907,2014,Aug
6755,Humpback Whale,36.76439,-121.968,2014,Aug
6757,Humpback Whale,36.79477,-121.912,2014,Aug
6759,Humpback Whale,36.84025,-121.879,2014,Aug
6759,Humpback Whale,36.84025,-121.879,2014,Aug
6759,Humpback Whale,36.84025,-121.879,2014,Aug
6759,Humpback Whale,36.84025,-121.879,2014,Aug
6759,Humpback Whale,36.84025,-121.879,2014,Aug
6759,Humpback Whale,36.84025,-121.879,2014,Aug
6759,Humpback Whale,36.84025,-121.879,2014,Aug
6759,Humpback Whale,36.84025,-121.879,2014,Aug
6800,Humpback Whale,36.78767,-121.928,2014,Aug
6800,Humpback Whale,36.78767,-121.928,2014,Aug
6800,Humpback Whale,36.78767,-121.928,2014,Aug
6986,Blue Whale,38.28417,-123.012,2014,Aug
7334,Humpback Whale,44.7788,-124.076,2014,Aug
7335,Blue Whale,44.82778,-124.067,2014,Aug
7660,Humpback Whale,44.74944,-124.072,2014,Sep
